Sl.No.,City Name,Name of Police Station,Address,Longitude,Latitude,Pincode
1,Bangalore city ,MADIVALA ,"MADIVALA ROAD SANTHOSAPURAM, 1ST BLOCK KORAMANGALA, KORAMANGALA, BENGALURU, KARNATAKA 560068","77.6185382","12.9210242",560068
2,Bangalore city ,MICOLAYOUT ,"GOPALAN MALL OPPOSITE, B.G ROAD, B.T.M 2ND STAGE, BANGALORE 560076","77.60012","12.91357",560076
3,Bangalore city ,HULIMAVU ,"OPP TO GOVT HIGHER PRIMARY SCHOOL, GOTTIGERE, BG ROAD, BENGALURU-560083","77.58952833","12.85820166",560083
4,Bangalore city ,ELECTRONIC CITY ,"NO 216, 3RD BLOCK, KSSIDC COMPLEX, PHASE-1, ELECTRONIC CITY, BANGALORE-560100","77.66149","12.83952",560100
5,Bangalore city ,HAL AIRPORT ,"BEHIND HAL POST OFFICE, D-32 HAL EMPLOYEE QUARTERS BANGALORE CITY-560017","77.667464","12.9588777",560017
6,Bangalore city ,HSR LAYOUT ,"NEAR BBMP SAMUDAYA BHAVANA IBBALURU VILLAGE BENGALURU-560102","77.66169","12.92178",560102
7,Bangalore city ,ADUGODI ,"NO 30 BBMP COMPLEX HOSUR LASKAR ROAD 1ST FLOOR ADUGODI BANGALORE 560030","77.608453","12.941487",560030
8,Bangalore city ,WHITE FIELD ,"NEAR KADUGODI BRIDGE KADUGODI, BANGALORE - 560067","77.45222084","12.58179508",560067
9,Bangalore city ,K.G.HALLI ,"NAGAVARA MAIN ROAD NEAR K.G.HALLI BUS STOP A ARABIC COLLEGE POST BENGALURU 560045","77.619161","13.019440",560045
10,Bangalore city ,K R PURA ,"OLD MADRAS ROAD, K R PURA EXTENSION, K R PURA, BANGALORE-560036","77.698921","13.011763",560036
11,Bangalore city ,BANASAWADI ,"5TH MAIN, 2ND BLOCK, HRBR LAYOUT, KALYANA NAGARA BANGALORE-560043","77.64009","13.01968",560043
12,Bangalore city ,JEEVAN BIMA NAGAR ,"#D63, KPWD QUARTERS, OPP BHARATH PETROL BUNK, JEEVAN BHIMA NAGAR MAIN RD, JEEVAN BIMA NAGAR, BENGALURU, KARNATAKA 560075","77.655901","12.967452",560075
13,Bangalore city ,HALASURU ,"NO.01, C.B.ROAD HALASURU, BENGALURU-560008","77.6252058","12.9745829",560008
14,Bangalore city ,SHIVAJINAGAR ,"BRADWAY ROAD OLD POLICE STATION JUNCTION SHIVAJI NAGAR BENGALURU-560051","77.60365634","12.98790204",560051
15,Bangalore city ,PULAKESHINAGARA ,"M.M ROAD, NEAR EAST RAILWAY STATION, FRASER TOWN BANGALORE-560005","77.620049","12.999135",560005
16,Bangalore city ,CUBBON PARK ,"GROUND FLOOR VV TOWER DR.AMBEDKAR ROAD BENGALURU-560001","77.59571","12.98278",560001
17,Bangalore city ,SADASHIVANAGAR ,"NO.1, C.P.R.I. COLONY, NEW BEL ROAD, BENGALURU-560012","77.572652","13.015259",560012
18,Bangalore city ,HIGH GROUNDS ,"RACE COURSE ROAD, IN FRONT OF BENGALURU TURF CLUB, BENGALURU-560001","77.582786","12.984345",560001
19,Bangalore city ,HALASURU GATE ,"NR ROAD, OPP. BBMP MAIN OFFICE, BENGALURU-560002","77.5870789","12.9665161",560002
20,Bangalore city ,ASHOKANAGARA ,"COMMISSARIATE ROAD, SHANTHALA NAGARA, ASHOKANAGARA, BENGALURU-560025","77.610427","12.971312",560025
21,Bangalore city ,WILSON GARDEN ,"NO 01, 1ST FLOOR, 7TH CROSS WILSON GARDEN MAIN ROAD BENGALURU-560027","77.5962565","12.9502061",560027
22,Bangalore city ,UPPARPET ,"LTP ROAD, UPPARPET POLICE STATION BUILDING, 560009","77.574908","12.974473",560009
23,Bangalore city ,CHICKPET ,"MINTO EYE HOSPITAL OPPOSITE VV PURAM POLICE STATION BUILDING PAMPA MAHAKAVI ROAD CHAMARAJAPET BANGALURU-560053","77.5718444","12.9599073",560053
24,Bangalore city ,CITY MARKET ,"NO 1, 4-81/A NEAR BALPET CIRCLE KV TEMPLE STREET CHICKPET, BENGALURU-560053","77.57355","12.97069",560053
25,Bangalore city ,MAGADI ROAD ,"NEAR PRASANNA THEATER, MAGADI MAIN ROAD, BENGALURU-560023.","77.551146","12.97475",560023
26,Bangalore city ,VIJAYANAGARA ,"#1777, 9TH CROSS ROAD HAMPI NAGARA RPC LAYOUT VIJAYANAGARA BENGALURU-560104","77.540477","12.960409",560104
27,Bangalore city ,BYATARAYANAPURA ,"M.M ROAD 5TH CROSS ROAD NO.203-204, KAVIKA QUARTERS MYSORE ROAD BENGALURU-560026","77.26466","12.16524",560026
28,Bangalore city ,KAMAKSHIPALYA ,"NO-25, ASTAGRAMA LAYOUT, MAGADI MAIN ROAD, BANGALORE-560079","77.5332137","12.9819826",560079
29,Bangalore city ,KENGERI ,"MYSORE ROAD, KENGERI, BENGALURU-560060","77.481527","12.910290",560060
30,Bangalore city ,MALLESWARAM ,"NO.05, 5TH CROSS, NEAR K.C.G. HOSPITAL MALLESHWARAM, BANGALORE-560003","77.5698138","12.9966945",560003
31,Bangalore city ,RAJAJINAGAR ,"2ND BLOCK, 12TH MAIN, BESIDE BDA COMPLEX, RAJAJINAGAR, BANGALORE-560010.","77.55421083","12.994617436757832",560010
32,Bangalore city ,YESHWANTHAPURA ,"90 ROOT, YESHWANTHAPURA CIRCLE, BENGALURU-560022","77.558082","13.018253",560022
33,Bangalore city ,PEENYA ,"1ST MAIN ROAD, PEENYA FIRST STAGE, BANGALORE - 560058","77.52113355","13.03611356",560058
34,Bangalore city ,JALAHALLI ,"HMT MAIN ROAD, JALAHALLI VILLAGE, BENGALURU-560013","77.549403","13.048606",560013
35,Bangalore city ,V.V.PURAM ,"VV PURAM TRAFFIC PS, NEAR KALASIPALYA PS, KALASIPALYA MAIN ROAD, BENGALURU-560002","77.577353","12.957269",560002
36,Bangalore city ,BASAVANAGUDI ,"K.R.ROAD, BASAVANAGUDI, BANGALORE-560004","77.5742322","12.942119",560004
37,Bangalore city ,JAYANAGARA ,"30TH CROSS, JAYANAGAR 4TH BLOCK, JAYANAGAR","77.58163","12.92865",560041
38,Bangalore city ,BANASHANKARI ,"9TH MAIN ROAD, THYAGARAJANAGARA, BSK 2ND STAGE","77.568224","12.929294",560070
39,Bangalore city ,K.S.LAYOUT ,"SUBRAMANYAPURA PS BUILDING, SRI.VENUGOPAL MILL OPP, SUBRAMANYAPURA MAIN ROAD, BANGALURU-560085","77.544571","12.901177",560085
40,Bangalore city ,INTERNATIONAL AIRPORT ,"INTERNATIONAL AIRPORT TRAFFIC POLICE STATION, DEVANAHALLI TOWN, BANGALORE RURAL DIST-562110","77.712515","13.245204",562110
41,Bangalore city ,R.T.NAGAR ,"ANDANAGARA CROSS, B.B.ROAD, BENGALURU-560024","77.588537","13.033486",560024
42,Bangalore city ,HEBBAL ,"UNDER BRIDGE, HEBBAL RING ROAD, TOWARDS TUMKUR ROAD -560024","77.58901","13.0424",560024
43,Bangalore city ,CHIKKAJALA ,"TTRSI BUILDING HEGDENAGARA, THANISANDRA MAIN ROAD, SRK NAGAR POST, BANGALORE-562157","77.636399","13.070214",562157
44,Bangalore city ,YELAHANKA ,"AMBEDKAR COLONY DODDABALLAPUR MAIN ROAD 560064","77.594037","13.095204",560064
